Domain;Service;Service Impact;Application;Common name
AIRPORTS;CHECK IN SYSTEM;1-Extensive/Widespread;API;API/CAPTURA Y ENVIO DE MSGS
AIRPORTS;CHECK IN SYSTEM;1-Extensive/Widespread;CKI;CKI999 / CKI FACTURACION / CHECK-IN
AIRPORTS;CHECK IN SYSTEM;1-Extensive/Widespread;CKI DENEGADOS EMBARQUE;REC999 / CKI DENEGADOS EMBARQUE
AIRPORTS;CHECK IN SYSTEM;1-Extensive/Widespread;COM003;CHECKIN ONLINE THIRDCIAS
AIRPORTS;CHECK IN SYSTEM;1-Extensive/Widespread;COM023;AUTOCHECKIN
AIRPORTS;CHECK IN SYSTEM;1-Extensive/Widespread;ET CKI;ET CKI
AIRPORTS;CHECK IN SYSTEM;1-Extensive/Widespread;FPA002;GUI DE CKI
AIRPORTS;CHECK IN SYSTEM;1-Extensive/Widespread;SYS;SYS-CONTROL APL. USASSYS - CONTROL DE AGENTES
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC001;GAUDI PLANNING MOBILE RESOURCES
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC002;"GAUDI_ROSTERING /
GAUDI_WEBROSTER /
GAUDI_PLAN /
GAUDI_EPX"
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC003;GAUDI REALTIME
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC004;GAUDI PLANNING INMOBILE RESOURCES
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC005;"GAUDI_REPORTS
GAUDI_HYPERION
GAUDI_INDICADORES
GAUDI_IBEPAD"
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC006;GAUDI_CONTRACTS
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC007;GAUDI_HUBCONTROL
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC009;ESC009 / TVCCS
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC010;RED JACKETS
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC011;PMR
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC015;GAUDI - DALI
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC016;GAUDI GSCONNECT
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC017;GAUDI LEFT LUGGAGE
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ESC018;DESHIELOS
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB004;EQUIPAJES ESPECIALES
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB007;TIBET
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB012;BONOS HOTEL/PDAS HOTEL
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB013;ARMARIOS TRAKA
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB015;JOBCARD
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB017;SCENA
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB018;RADAR
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB019;VAPCAM
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB020;BLUEIRIS
AIRPORTS;MAD-HUB OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;HUB021;MEGAFONIA EN PUERTAS DE EMBARQUE
AIRPORTS;STATIONS OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ADA001;CUADRO DE MANDO DGA
AIRPORTS;STATIONS OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;ADA002;ENTREGA EQUIPAJES EXTRAVIADOS
AIRPORTS;STATIONS OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;CYF001;AMAZONAS GESTOR DOCUMENTAL DE ESCALAS
AIRPORTS;STATIONS OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;EVIL;EVIL
AIRPORTS;STATIONS OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;GEO001;"TRYP / TRYPBJS
/ OPSTRYP --> ReT IB@S"
AIRPORTS;STATIONS OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;GEO004;"APPCIC / CORA / WEBCIC / 
WEBCORA /  WEBCIC SRVR / WEBCORA SRVR"
AIRPORTS;STATIONS OPERATIONAL MANAGEMENT SYSTEM;1-Extensive/Widespread;VÍDEO LLEGADAS/SALIDAS;GEO999 / TVCC ESCALAS
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;AAF;AAF AIRLINE ACCESS FACILITIES
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;REI002;CREWRES
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;REI004;PCI SYS-UNISYS
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;REI005;AVAILABILITY DACS-ITA FILES
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;REI006;REACCOM
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;REI007;NEGO SPACE
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;REI011;MIDDLEWARE INTERMODALIDAD RENFE - AIRLINE
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;REI012;AVAILABILITY HUB
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;RES;RESERVAS (RES) E INVETARIO
COMMERCIAL;BOOKINGS AND INVENTORY SYSTEM;1-Extensive/Widespread;SYS;SYS-CONTROL APL. USASSYS - CONTROL DE AGENTES
COMMERCIAL;.COM;1-Extensive/Widespread;COM007;AIRLINE.COM MOBI AIRLINE.COM PDA
COMMERCIAL;.COM;1-Extensive/Widespread;COM008;AIRLINE.COM CONTROL ROBOT
COMMERCIAL;.COM;1-Extensive/Widespread;COM010;AIRLINE.COM MONITORIZACION ONLINE (FRONT)
COMMERCIAL;.COM;1-Extensive/Widespread;COM011;CMC, PRE-DEPARTURE, ROBOT DE AVISOS
COMMERCIAL;.COM;1-Extensive/Widespread;COM012;SERVICIO SARA VALIDACIÓN RESIDENTES
COMMERCIAL;.COM;1-Extensive/Widespread;COM013;PASARELA DE PAGOS NETLUS
COMMERCIAL;.COM;1-Extensive/Widespread;COM014;HBFF SERVICIO TARIFICADOR
COMMERCIAL;.COM;1-Extensive/Widespread;COM015;HBFF SERVICIO TARIFICADOR
