MONTHLY INCIDENTS CLOSED;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Solution Date;;;;;;;;;;;;;;;;;;
Entre 01/02/2018 - 28/02/2018;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
CLOSED;IAG CARGO;IBERIA;IBERIA EXPRESS;OTHERS;TOTAL;;;;;;;;;;;;;
Application Tower;156;2.442;23;26;2.647;;;;;;;;;;;;;
Delivery;4;398;4;13;419;;;;;;;;;;;;;
EUC;9;1.006;17;3;1.035;;;;;;;;;;;;;
KONICA;;103;;;103;;;;;;;;;;;;;
Network Tower;4;353;9;2;368;;;;;;;;;;;;;
Seguridad;1;38;4;1;44;;;;;;;;;;;;;
Server Tower;2;378;1;1;382;;;;;;;;;;;;;
Service Ops Tower;16;3.779;42;78;3.915;;;;;;;;;;;;;
UNKNOW;;4;;;4;;;;;;;;;;;;;
TOTAL;192;8.501;100;124;8.917;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Incidenct Code;Customer Company;Creation Date-Time;Resolution Date-Time;Incident Status;Incident Description;Support Group;Tower Group;Domain Group;Priority;Resolution Description;Assigned Organization;Inc. Category;Last Modified Date;Inc. Type;Inc. Element;Aging (Days);Localización Cliente;Departamento Cliente
INC000000766781;BRITISH AIRWAYS;06/01/2017 10:43;22/02/2018 19:26;Resolved;ITSC Notification - Ticket 355009 has been placed on Holding queue HOLDIB;EMAIL ENCRYPTION AND SECURITY;Server Tower;Server Tower;Media;"Hi Email Encryption and Security team Could please check and tell us the reson behind this why user is not able send mail. as it was working perfectly earlier. is there any firewall rule or something with mail ? 09.1[AVCD] Hi SSI team please pass this incident to ""Email Encryption and security team"" As user is not able to send files via AVCD application. files are generated on :-\\tcargo1.iberia.ib\Ventas\Informes these generated files should send via mails using 'Jmail' but in jmail logs below error is apperaing <Mon Jan 09 11:00:18 CET 2017> <Enviando E:\Ventas\Informes\\AR_Billing_Report_AWB.xls E:\Ventas\Informes\\AR_Billing_Report_AWB.txt a suman.kumar@ba.com> <Mon Jan 09 11:00:18 CET 2017> <envio OK suman.kumar@ba.com> <Mon Jan 09 11:00:26 CET 2017> <Error en el mensaje> javax.mail.SendFailedException: Sending failed; nested exception is: javax.mail.MessagingException: IOException while sending message; nested exception is: java.io.FileNotFoundException: E:\Ventas\Informes\AR_Billing_Report_AWB.txt (The system cannot find the file specified) at javax.mail.Transport.send0(Transport.java:219) at javax.mail.Transport.send(Transport.java:81) at JMail.sendAttachments(JMail.java:128) at JMail.<init>(JMail.java:81) at JMail.main(JMail.java:181)";Unidad de Operaciones Ordenadores;INCIDENT;22/02/2018;SOFTWARE FAILURE;;412;SIN IDENTIFICAR;
INC000000788930;IBERIA;10/02/2017 11:31;14/02/2018 10:16;Resolved;SIC011: Incidencia OBI y RES pasajeros LH y SH;Aplicaciones BI;Application Tower;BI;Baja;Análisis de impacto: bajo Acciones: Ninguna. Se han comprobado datos y dado información a usuarios y otros grupos de soporte. Pruebas: No aplica.;Mantenimiento BI;INCIDENT;14/02/2018;SOFTWARE FAILURE;;369;NEO-MARTINEZ VILLERGAS 49;BP FINANZAS COMERCIAL Y R (1FIC00)
INC000000810430;IBERIA;17/03/2017 10:23;05/02/2018 11:17;Resolved;faltan billetes en el fichero nocturno;USCIBMAM;Application Tower;Cobol Domain;Baja;Tras reuniones con negocio, Amadeus e ibcom, se ha establecido un procedimiento para reclamar los billetes del fichero nocturno que no han sido enviados según el origen de la información, Amadeus o ibcom, os según el origen de la información;Mantenimiento COBOL;INCIDENT;05/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;325;EDIF.110 - ALMACENES GENERALES;RESP. FACT. INTERL Y AG D (3KEMV0)
INC000000816670;IBERIA;27/03/2017 18:20;22/02/2018 19:19;Resolved;Suspicious mail received;EMAIL ENCRYPTION AND SECURITY;Server Tower;Server Tower;Media;closing old ticket.;Unidad de Operaciones Ordenadores;INCIDENT;22/02/2018;SECURITY ISSUE.CYBERATTACKS;SUSPICIOUS MESSAGE RECEIPT;332;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);DPTO. ACTIVOS (AMAV00B0)
INC000000820588;IBERIA;03/04/2017 11:48;06/02/2018 11:13;Resolved;problemas con su signin, no puede modificar datos de hojas de carga;CARGO-CIBER;Application Tower;CARGO;Baja;All data in system is orrect. We don't see any problem. We proceed to close issue;Mantenimiento Cargo;INCIDENT;06/02/2018;DEFAULT;DEFAULT;309;TERMINAL T4;DESPACHO VUELOS_HOJAS CAR (AVCC00HC)
INC000000825259;IBERIA;10/04/2017 18:18;22/02/2018 19:30;Resolved;Spam Banco Santander;EMAIL ENCRYPTION AND SECURITY;Server Tower;Server Tower;Baja;old ticket.;Unidad de Operaciones Ordenadores;INCIDENT;22/02/2018;SECURITY ISSUE.CYBERATTACKS;PHISING;318;NEO-MARTINEZ VILLERGAS 49;GESTOR A320 TIERRA (ABRW00T0)
INC000000838961;IBERIA;05/05/2017 14:24;19/02/2018 12:03;Resolved;AMO001 - Error al enviar un mail;EISSISCORP;Delivery;Delivery;Baja;ssi] Llaman de este grupo técnico. No se da soporte a esta aplicación desde este grupo. Cerrar por motivo de la antiguedad. Enviarán correo a la usuaria a notificar esto.;Unidad Sistemas Corporativos;INCIDENT;19/02/2018;SOFTWARE FAILURE;;290;NEO-MARTINEZ VILLERGAS 49;SEN MNG SERVICIOS INGENIE (APXA00)
INC000000840249;IBERIA;08/05/2017 14:58;05/02/2018 13:28;Resolved;43090123 Falta el DB de venta No se encuentrans en Base de Datos;USCIBMAM;Application Tower;Cobol Domain;Baja;Se solicita información adicional, ante la falta de casos actuales se entiende que fue un problema puntual ya resuelto.;Mantenimiento COBOL;INCIDENT;05/02/2018;SOFTWARE FAILURE;;273;SIN IDENTIFICAR;
INC000000859367;IBERIA EXPRESS;05/06/2017 11:48;20/02/2018 13:57;Resolved;AIM001 - (EXT-10516) URGENTE --- Play Ground no funciona correctamente;FNO-MANTENIMIENTO TERCEROS;Application Tower;FLIGHT OPERATIONS;Media;Análisis de impacto: No aplica. Acciones realizadas: Se abre ticket proveedor con importancia alta para que revise la degradación en la creación de los playgrounds. Tras las pruebas realizadas con otros servidores hemos llegado a la conclusión que no es un problema de la aplicación sino de infraestructura. Cerramos la incidencia.;Mantenimiento Operaciones;INCIDENT;20/02/2018;SOFTWARE FAILURE;;260;MADRID / ALCAÑIZ;
INC000000868330;IBERIA;19/06/2017 13:31;06/02/2018 11:19;Resolved;Ciber-FFM IB9046;CARGO-CIBER;Application Tower;CARGO;Baja;we have tried to reproduce without success. We proceed to close issue;Mantenimiento Cargo;INCIDENT;06/02/2018;DEFAULT;DEFAULT;232;SIN IDENTIFICAR (MADRID BARAJAS);MNG. SOPORTE TECNICO (CAR (AGDS00)
INC000000868394;IBERIA;19/06/2017 16:46;21/02/2018 12:08;Resolved;LINUX_ibm - arsmidl2.ib : Filesystem opt-arsv7 esta ocupado al 96.20%. Abrir incidente via ARS a Her;SSI;Service Ops Tower;Service Ops Tower;Media;[SSIi] Se cierra esta incidencia por longevidad de la alarma.;Unidad Control del Servicio;INCIDENT;21/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;247;MANDOS;
INC000000868699;IBERIA;20/06/2017 1:59;07/02/2018 13:04;Resolved;SCOM - on ieexp060padc01.ibexpress.ie component nagios_Microsoft.Windows.Server.LogicalDisk ETM.Wind;MONITORIZACION Y DISPONIBILIDAD DE SERVICIOS;Server Tower;Server Tower;Baja;this issue already resolved by Karl, hence closing this incident.;Unidad de Operaciones Ordenadores;INCIDENT;07/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;232;MANDOS;
INC000000868811;IBERIA;20/06/2017 9:51;07/02/2018 13:08;Resolved;SCOM - on ibexp060padc07.delegaciones.iberia.ib component nagios_Microsoft.Windows.Server.LogicalDis;MONITORIZACION Y DISPONIBILIDAD DE SERVICIOS;Server Tower;Server Tower;Media;this issue already resolved by Karl;Unidad de Operaciones Ordenadores;INCIDENT;07/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;232;MANDOS;
INC000000869096;IBERIA;20/06/2017 14:43;09/02/2018 14:57;Resolved;Lost mapped NAS folder, needs remapping;SSI;Service Ops Tower;Service Ops Tower;Baja;[SSi] Se cierra incidencia por longevidad y falta de chasing por parte del usuario. Si el problema persiste, por favor, aportar los siguientes datos: Nombre del servidor donde se encuentra alojada las carpetas mencioandas.;Unidad Control del Servicio;INCIDENT;09/02/2018;ACCESS FAILURE;;234;NEO-MARTINEZ VILLERGAS 49;SM. BP. INFORMACIÓN Y ANÁ (1FIQ00)
INC000000869318;IBERIA;21/06/2017 1:45;07/02/2018 13:11;Resolved;SCOM - on ieexp060padc01.ibexpress.ie component nagios_Microsoft.Windows.Server.LogicalDisk ETM.Wind;MONITORIZACION Y DISPONIBILIDAD DE SERVICIOS;Server Tower;Server Tower;Media;this issue already resolved by Karl;Unidad de Operaciones Ordenadores;INCIDENT;07/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;231;MANDOS;
