MONTHLY INCIDENTS RAISED;;;;;;;;;;;;;;;;;;;;
Registry Date;;;;;;;;;;;;;;;;;;;;
Entre 01/02/2018 - 28/02/2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
RAISED;IAG CARGO;IBERIA;IBERIA EXPRESS;OTHERS;TOTAL;;;;;;;;;;;;;;;
Application Tower;163;2.514;18;25;2.720;;;;;;;;;;;;;;;
Delivery;4;517;4;19;544;;;;;;;;;;;;;;;
EUC;8;1.022;18;4;1.052;;;;;;;;;;;;;;;
KONICA;1;109;;;110;;;;;;;;;;;;;;;
Network Tower;4;376;13;;393;;;;;;;;;;;;;;;
Seguridad;1;33;4;1;39;;;;;;;;;;;;;;;
Server Tower;2;380;2;1;385;;;;;;;;;;;;;;;
Service Ops Tower;10;3.753;42;81;3.886;;;;;;;;;;;;;;;
UNKNOW;;5;1;;6;;;;;;;;;;;;;;;
TOTAL;193;8.709;102;131;9.135;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Incidenct Code;Customer Company Group;Customer Company;Create Date-Time;Resolution Date-Time;Incident Status;Incident Description;Support Group;Tower Group;Domain Group;Priority;Urgency;Resolution Description;Assigned Organization;Inc. Category;Last Modified Date;Inc. Type;Inc. Element;Aging (Days);Localización Cliente;Departamento Cliente
INC000000984982;IBERIA;IBERIA;01/02/2018 0:04;01/02/2018 0:46;Resolved;Vuelo IB6409 - problemas con el embarque;CSUSAS;Delivery;Delivery;Baja;4-Baja;INC resuelta por Oncall;Unidad de Operaciones Ordenadores;INCIDENT;01/02/2018;SOFTWARE FAILURE;;0;TERMINAL T4;ASIST.PAX T4_TRA_SPV (AHMDST4V)
